unix,datetime,speed,location
1741561800,2025-03-09 23:10:00,37.0,Sunshine Coast Airport
1741562400,2025-03-09 23:20:00,40.8,Sunshine Coast Airport
1741563000,2025-03-09 23:30:00,35.2,Sunshine Coast Airport
1741563600,2025-03-09 23:40:00,40.8,Sunshine Coast Airport
1741564200,2025-03-09 23:50:00,44.5,Sunshine Coast Airport
1741564800,2025-03-10 00:00:00,40.8,Sunshine Coast Airport
1741565400,2025-03-10 00:10:00,37.0,Sunshine Coast Airport
1741566000,2025-03-10 00:20:00,31.5,Sunshine Coast Airport
1741566600,2025-03-10 00:30:00,38.9,Sunshine Coast Airport
1741567200,2025-03-10 00:40:00,40.8,Sunshine Coast Airport
1741567800,2025-03-10 00:50:00,40.8,Sunshine Coast Airport
1741568400,2025-03-10 01:00:00,37.0,Sunshine Coast Airport
1741569000,2025-03-10 01:10:00,38.9,Sunshine Coast Airport
1741569600,2025-03-10 01:20:00,31.5,Sunshine Coast Airport
1741570200,2025-03-10 01:30:00,33.3,Sunshine Coast Airport
1741570800,2025-03-10 01:40:00,33.3,Sunshine Coast Airport
1741571400,2025-03-10 01:50:00,37.0,Sunshine Coast Airport
1741572000,2025-03-10 02:00:00,37.0,Sunshine Coast Airport
1741572600,2025-03-10 02:10:00,44.5,Sunshine Coast Airport
1741573200,2025-03-10 02:20:00,38.9,Sunshine Coast Airport
1741573800,2025-03-10 02:30:00,42.6,Sunshine Coast Airport
1741574400,2025-03-10 02:40:00,38.9,Sunshine Coast Airport
1741575000,2025-03-10 02:50:00,40.8,Sunshine Coast Airport
1741575600,2025-03-10 03:00:00,42.6,Sunshine Coast Airport
1741576200,2025-03-10 03:10:00,35.2,Sunshine Coast Airport
1741576800,2025-03-10 03:20:00,40.8,Sunshine Coast Airport
1741577400,2025-03-10 03:30:00,38.9,Sunshine Coast Airport
1741578000,2025-03-10 03:40:00,37.0,Sunshine Coast Airport
1741578600,2025-03-10 03:50:00,31.5,Sunshine Coast Airport
1741579200,2025-03-10 04:00:00,31.5,Sunshine Coast Airport
1741579800,2025-03-10 04:10:00,27.8,Sunshine Coast Airport
1741580400,2025-03-10 04:20:00,37.0,Sunshine Coast Airport
1741581000,2025-03-10 04:30:00,33.3,Sunshine Coast Airport
1741581600,2025-03-10 04:40:00,33.3,Sunshine Coast Airport
1741582200,2025-03-10 04:50:00,35.2,Sunshine Coast Airport
1741582800,2025-03-10 05:00:00,35.2,Sunshine Coast Airport
1741583400,2025-03-10 05:10:00,38.9,Sunshine Coast Airport
1741584000,2025-03-10 05:20:00,33.3,Sunshine Coast Airport
1741584600,2025-03-10 05:30:00,33.3,Sunshine Coast Airport
1741585200,2025-03-10 05:40:00,35.2,Sunshine Coast Airport
1741585800,2025-03-10 05:50:00,37.0,Sunshine Coast Airport
1741586400,2025-03-10 06:00:00,37.0,Sunshine Coast Airport
1741587000,2025-03-10 06:10:00,37.0,Sunshine Coast Airport
1741587600,2025-03-10 06:20:00,33.3,Sunshine Coast Airport
1741588200,2025-03-10 06:30:00,33.3,Sunshine Coast Airport
1741588800,2025-03-10 06:40:00,35.2,Sunshine Coast Airport
1741589400,2025-03-10 06:50:00,33.3,Sunshine Coast Airport
1741590000,2025-03-10 07:00:00,35.2,Sunshine Coast Airport
1741590600,2025-03-10 07:10:00,37.0,Sunshine Coast Airport
1741591200,2025-03-10 07:20:00,31.5,Sunshine Coast Airport
1741591800,2025-03-10 07:30:00,35.2,Sunshine Coast Airport
1741592400,2025-03-10 07:40:00,31.5,Sunshine Coast Airport
1741593000,2025-03-10 07:50:00,27.8,Sunshine Coast Airport
1741593600,2025-03-10 08:00:00,33.3,Sunshine Coast Airport
1741594200,2025-03-10 08:10:00,37.0,Sunshine Coast Airport
1741594800,2025-03-10 08:20:00,35.2,Sunshine Coast Airport
1741595400,2025-03-10 08:30:00,37.0,Sunshine Coast Airport
